name,generic_name,manufacturer,purpose,warnings,route,dosage_form
SILICEA,SILICEA,"Rxhomeo Private Limited d.b.a. Rxhomeo, Inc","USES USES: Temporary Relief - Acne, Boils* * Claims based on traditional homeopathic practice, not accepted medical evidence. Not FDA evaluated.","WARNINGS This product is to be used for self-limiting conditions If symptoms do not improve in 4 days, or worsen, discontinue use and seek assistance of health professional. As with any drug, if you are pregnant, or nursing a baby, seek professional advice before taking this product. Keep this and all medication out of reach of children Do not use if capseal is broken or missing. Close the cap tightly after use.",ORAL,
UNKNOWN,UNKNOWN,UNKNOWN,Purpose Sunscreen,Warnings For external use only.,,
Betadine,POVIDONE-IODINE,"Atlantis Consumer Healthcare, Inc.",Purpose First aid Antiseptic,Warnings For external use only,TOPICAL,
UNKNOWN,UNKNOWN,UNKNOWN,USES To relieve the symptoms of itching.,"STOP USE AND ASK DOCTOR If symptoms persist/worsen or if pregnant/nursing, stop use and consult your practitioner.",,
UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"WARNINGS NOT FOR INJECTION. Ofloxacin ophthalmic solution should not be injected subconjunctivally, nor should it be introduced directly into the anterior chamber of the eye. There are rare reports of anaphylactic reaction/shock and fatal hypersensitivity reactions in patients receiving systemic quinolones, some following the first dose, including ofloxacin. Some reactions were accompanied by cardiovascular collapse, loss of consciousness, angioedema (including laryngeal, pharyngeal or facial edema), airway obstruction, dyspnea, urticaria, and itching. A rare occurrence of Stevens-Johnson syndrome, which progressed to toxic epidermal necrolysis, has been reported in a patient who was receiving topical ophthalmic ofloxacin. If an allergic reaction to ofloxacin occurs, discontinue the drug. Serious acute hypersensitivity reactions may require immediate emergency treatment. Oxygen and airway management, including intubation should be administered as clinically indicated.",,
Naproxen,NAPROXEN,A-S Medication Solutions,UNKNOWN,UNKNOWN,ORAL,
UNKNOWN,UNKNOWN,UNKNOWN,Purpose Antiseptic,"Warnings For external use only Allergy alert This product may cause a severe allergic realction. Symptoms may include: wheezing/difficulty breathing hives shock rash facial swelling If an allergic reaction occurs, stop use and seek medical help right away. Do not use if you are allergic to chlorhexidine gluconate or any other ingredients in this product. When using this product keep out of eyes, ears and mouth. May cause serious and permanent eye injury if permitted to enter or allowed to remain. if contact occurs, rinse with cold water right away do not use routinely if you have wounds which involve more than the superficial layers of the skin Stop use and ask a doctor if irritation, sensitization, or allergic reaction occurs. These may be signs of a serious condition. Keep out of reach of children. If swallowed, get medical help or contact a Poison Control Center right away.",,
Moisturizing Antibacterial,BENZALKONIUM CHLORIDE,Walmart Inc.,Purpose Antibacterial,Warnings For external use only: hands only,TOPICAL,
UNKNOWN,UNKNOWN,UNKNOWN,"Uses: For the management of acne helps clear up acne blemishes, black heads, helps prevent the development of new acne pimples penetrates pores to reduce the number of acne pimples, white heads and black heads help keep skin clear of new acne pimples, white heads and black heads helps prevent new acne pimples, white heads and black heads from forming help prevent the development of new pimples, white heads and black heads","Warnings: For external use only. Do not use if you have sensitive skin and/or are sensitive to [active ingredient] When using this product skin irritation and dryness is more likely to occur if you use another topical acne medication at the same time. If irritation occurs, only use one topical acne medication at a time avoid unnecessary sun exposure and use sun screen, Acne Clearing Moisture with SPF 45 skin irritation may occur, characterized by redness, burning, itching, peeling, and possibly swelling. Irritation may be reduced by using the product less frequently or in a lower concentration Stop use and ask a doctor if irritation becomes severe",,
UNKNOWN,UNKNOWN,UNKNOWN,Purpose-Nasal Decongestant,"Do not exceed recommended dosage. If dizziness or sleeplessness occur, symptoms do not improve or are accompanied by a fever-consult a doctor. Do not exceed recommended dosage. If dizziness or sleeplessness occur, consult a doctor. Drug interaction Precaution: Do not use this product if you are now taking a prescription monoamine oxidase inhibitor (MAOI) (Certain drugs for depression, psychiatric, or emotional conditions, or Parkinson's disease), or for 2 weeks after stopping the MAOI drug. If you are uncertain whether your prescription drug contains an MAOI, consult a health professional before using this product.",,
Quick Action,SALICYLIC ACID,Walmart Inc.,Purpose Acne medication,Warnings For external use only,TOPICAL,
UNKNOWN,UNKNOWN,UNKNOWN,Use: Temporary relief of cough.,"Warnings: Claims based on traditional homeopathic practice, not accepted medical evidence. Not FDA evaluated. Contains sugar. Diabetics and persons intolerant of sucrose (sugar): Consult a doctor before use. Do not use if allergic to any ingredient. Consult a doctor before use for serious conditions or if conditions worsen or persist. If pregnant or nursing, consult a doctor before use. Do not use if safety seal is broken or missing.",,
Mekinist,TRAMETINIB,Novartis Pharmaceuticals Corporation,UNKNOWN,UNKNOWN,ORAL,
